Height,Weight,Bust,Stomach,Hips,,Neck,Sleeve Length (F/S),Shoulder Width,Torso Length,Bicep,Wrist,,Rise,Length (Leg),Waist (Pants),THigh
178,84,106.5,98.2,104.9,,41.4,64.3,49.3,77,34.6,18.8,,67.8,103.6,96.3,60
178,84,107.2,96.9,104.4,,41.4,64.3,49.4,76.9,35.2,18.9,,67.4,103.6,95.1,60.3
178,84,105.9,99.6,105.5,,41.4,64.3,49.1,77,34,18.8,,68.2,103.5,97.5,59.8
178,84,105.9,94.4,104,,41.1,64.2,49.2,76.9,34.8,18.8,,67.2,103.7,94,60.2
178,84,107.3,102.3,105.9,,41.7,64.4,49.4,77.2,34.5,18.9,,68.4,103.7,98.7,59.8
178,84,106.5,98.2,104.9,,41.4,64.3,49.3,77,34.6,18.8,,67.8,103.6,96.3,60
178,84,106.5,98.2,104.9,,41.4,64.3,49.3,77,34.6,18.8,,67.8,103.6,96.3,60
178,84,106.5,98.2,104.9,,41.4,64.3,49.3,77,34.6,18.8,,67.8,103.6,96.3,60
178,84,106.5,98.2,104.9,,41.4,64.3,49.3,77,34.6,18.8,,67.8,103.6,96.3,60
178,75,100.8,91.4,99.8,,40,64.4,47.7,76,32.5,18.3,,65.6,103.7,91.1,56.7
178,76,101.5,92.1,100.4,,40.1,64.4,47.9,76.1,32.8,18.4,,65.8,103.7,91.7,57
178,77,102.1,92.9,100.9,,40.3,64.4,48,76.2,33,18.4,,66.1,103.7,92.3,57.4
178,78,102.7,93.6,101.5,,40.4,64.4,48.2,76.3,33.2,18.5,,66.3,103.7,92.8,57.8
178,79,103.4,94.4,102.1,,40.6,64.3,48.4,76.5,33.5,18.5,,66.6,103.7,93.4,58.2
178,80,104,95.2,102.6,,40.8,64.3,48.6,76.6,33.7,18.6,,66.8,103.7,94,58.5
178,81,104.6,95.9,103.2,,40.9,64.3,48.7,76.7,33.9,18.7,,67.1,103.7,94.6,58.9
178,82,105.3,96.7,103.8,,41.1,64.3,48.9,76.8,34.2,18.7,,67.3,103.6,95.1,59.3
178,83,105.9,97.5,104.3,,41.2,64.3,49.1,76.9,34.4,18.8,,67.5,103.6,95.7,59.7
